colour	x	y	key	clickSelects	showSelected1	fill
#FF0000	92.1794871794872	90.5128205128205	ATAC_JV_adipose/1	ATAC_JV_adipose/1	worse	#FF0000
#FF0000	94.7575360419397	92.6605504587156	ATAC_JV_adipose/2	ATAC_JV_adipose/2	worse	#FF0000
#FF0000	88.5714285714286	84.8809523809524	ATAC_JV_adipose/3	ATAC_JV_adipose/3	worse	#FF0000
#FF0000	81.8181818181818	79.7202797202797	ATAC_JV_adipose/4	ATAC_JV_adipose/4	worse	#FF0000
#0000FF	78.1065088757397	94.9704142011834	CTCF_TDH_ENCODE/1	CTCF_TDH_ENCODE/1	better	#0000FF
#0000FF	77.2189349112426	96.1538461538462	CTCF_TDH_ENCODE/2	CTCF_TDH_ENCODE/2	better	#0000FF
#0000FF	80.4733727810651	98.8165680473373	CTCF_TDH_ENCODE/3	CTCF_TDH_ENCODE/3	better	#0000FF
#0000FF	81.8681318681319	99.4505494505495	CTCF_TDH_ENCODE/4	CTCF_TDH_ENCODE/4	better	#0000FF
#0000FF	67.3609280253098	92.4597943580279	H3K27ac-H3K4me3_TDHAM_BP/1	H3K27ac-H3K4me3_TDHAM_BP/1	better	#0000FF
#0000FF	76.8244575936884	95.2169625246548	H3K27ac-H3K4me3_TDHAM_BP/2	H3K27ac-H3K4me3_TDHAM_BP/2	better	#0000FF
#0000FF	76.5686274509804	98.5539215686275	H3K27ac-H3K4me3_TDHAM_BP/3	H3K27ac-H3K4me3_TDHAM_BP/3	better	#0000FF
#0000FF	81.3988095238095	90.2777777777778	H3K27ac-H3K4me3_TDHAM_BP/4	H3K27ac-H3K4me3_TDHAM_BP/4	better	#0000FF
#FF0000	86.1842105263158	82.8947368421053	H3K27ac_TDH_some/1	H3K27ac_TDH_some/1	worse	#FF0000
#000000	97.3684210526316	97.3684210526316	H3K27ac_TDH_some/2	H3K27ac_TDH_some/2	same	#000000
#FF0000	84.2105263157895	83.6842105263158	H3K27ac_TDH_some/3	H3K27ac_TDH_some/3	worse	#FF0000
#0000FF	84.2105263157895	90.0584795321637	H3K27ac_TDH_some/4	H3K27ac_TDH_some/4	better	#0000FF
#0000FF	79.6992481203008	84.2105263157895	H3K27me3_RL_cancer/1	H3K27me3_RL_cancer/1	better	#0000FF
#0000FF	66.9172932330827	86.4661654135338	H3K27me3_RL_cancer/2	H3K27me3_RL_cancer/2	better	#0000FF
#0000FF	60.5263157894737	99.3421052631579	H3K27me3_RL_cancer/3	H3K27me3_RL_cancer/3	better	#0000FF
#0000FF	72.3684210526316	76.3157894736842	H3K27me3_RL_cancer/4	H3K27me3_RL_cancer/4	better	#0000FF
#FF0000	92.8571428571429	91.6666666666667	H3K27me3_TDH_some/1	H3K27me3_TDH_some/1	worse	#FF0000
#000000	98.0645161290323	98.0645161290323	H3K27me3_TDH_some/2	H3K27me3_TDH_some/2	same	#000000
