xmin	xmax	key	clickSelects.variable	clickSelects.value	showSelected.variable	showSelected.value	PANEL	group
-10.1	-9.9	1	mid.thresh	-10	mid.thresh	-10	1	4126
-9.9	-9.7	-9.8 -10	mid.thresh	-9.8	mid.thresh	-10	1	3685
-9.7	-9.5	-9.6 -10	mid.thresh	-9.6	mid.thresh	-10	1	3610
-9.5	-9.3	-9.4 -10	mid.thresh	-9.4	mid.thresh	-10	1	3535
-9.3	-9.1	-9.2 -10	mid.thresh	-9.2	mid.thresh	-10	1	3460
-9.1	-8.9	-9 -10	mid.thresh	-9	mid.thresh	-10	1	3385
-8.9	-8.7	-8.8 -10	mid.thresh	-8.8	mid.thresh	-10	1	3310
-8.7	-8.5	-8.6 -10	mid.thresh	-8.6	mid.thresh	-10	1	3235
-8.5	-8.3	-8.4 -10	mid.thresh	-8.4	mid.thresh	-10	1	3160
-8.3	-8.1	-8.2 -10	mid.thresh	-8.2	mid.thresh	-10	1	3085
-8.1	-7.9	-8 -10	mid.thresh	-8	mid.thresh	-10	1	3010
-7.9	-7.7	-7.8 -10	mid.thresh	-7.8	mid.thresh	-10	1	2935
-7.7	-7.5	-7.6 -10	mid.thresh	-7.6	mid.thresh	-10	1	2860
-7.5	-7.3	-7.4 -10	mid.thresh	-7.4	mid.thresh	-10	1	2785
-7.3	-7.1	-7.2 -10	mid.thresh	-7.2	mid.thresh	-10	1	2710
-7.1	-6.9	-7 -10	mid.thresh	-7	mid.thresh	-10	1	2635
-6.9	-6.7	-6.8 -10	mid.thresh	-6.8	mid.thresh	-10	1	2560
-6.7	-6.5	-6.6 -10	mid.thresh	-6.6	mid.thresh	-10	1	2485
-6.5	-6.3	-6.4 -10	mid.thresh	-6.4	mid.thresh	-10	1	2410
-6.3	-6.1	-6.2 -10	mid.thresh	-6.2	mid.thresh	-10	1	2335
-6.1	-5.9	-6 -10	mid.thresh	-6	mid.thresh	-10	1	2260
-5.9	-5.7	-5.8 -10	mid.thresh	-5.8	mid.thresh	-10	1	2185
-5.7	-5.5	-5.6 -10	mid.thresh	-5.6	mid.thresh	-10	1	2110
-5.5	-5.3	-5.4 -10	mid.thresh	-5.4	mid.thresh	-10	1	2035
-5.3	-5.1	-5.2 -10	mid.thresh	-5.2	mid.thresh	-10	1	1960
-5.1	-4.9	-5 -10	mid.thresh	-5	mid.thresh	-10	1	1885
-4.9	-4.7	-4.8 -10	mid.thresh	-4.8	mid.thresh	-10	1	1810
-4.7	-4.5	-4.6 -10	mid.thresh	-4.6	mid.thresh	-10	1	1735
-4.5	-4.3	-4.4 -10	mid.thresh	-4.4	mid.thresh	-10	1	1660
-4.3	-4.1	-4.2 -10	mid.thresh	-4.2	mid.thresh	-10	1	1585
-4.1	-3.9	-4 -10	mid.thresh	-4	mid.thresh	-10	1	1510
-3.9	-3.7	-3.8 -10	mid.thresh	-3.8	mid.thresh	-10	1	1435
