colour	x	y	key	showSelectedlegendcolour	showSelected1
#00BFC4	0.0294871794871795	0.901554404145078	initial	initial	ATAC_JV_adipose/1
#F8766D	0.00384615384615385	0.816062176165803	improved	improved	ATAC_JV_adipose/1
#00BFC4	0.00786369593709043	0.899408284023669	initial	initial	ATAC_JV_adipose/2
#F8766D	0.0117955439056356	0.86094674556213	improved	improved	ATAC_JV_adipose/2
#00BFC4	0.0345238095238095	0.831658291457286	initial	initial	ATAC_JV_adipose/3
#F8766D	0.0273809523809524	0.738693467336683	improved	improved	ATAC_JV_adipose/3
#00BFC4	0.0920745920745921	0.787292817679558	initial	initial	ATAC_JV_adipose/4
#F8766D	0.0512820512820513	0.640883977900553	improved	improved	ATAC_JV_adipose/4
#00BFC4	0.215976331360947	0.991869918699187	initial	initial	CTCF_TDH_ENCODE/1
#F8766D	0.029585798816568	0.943089430894309	improved	improved	CTCF_TDH_ENCODE/1
#00BFC4	0.195266272189349	0.89622641509434	initial	initial	CTCF_TDH_ENCODE/2
#F8766D	0.0029585798816568	0.886792452830189	improved	improved	CTCF_TDH_ENCODE/2
#00BFC4	0.195266272189349	1	initial	initial	CTCF_TDH_ENCODE/3
#F8766D	0.00591715976331361	0.984126984126984	improved	improved	CTCF_TDH_ENCODE/3
#00BFC4	0.181318681318681	1	initial	initial	CTCF_TDH_ENCODE/4
#F8766D	0	0.982758620689655	improved	improved	CTCF_TDH_ENCODE/4
#00BFC4	0.0986842105263158	0.932584269662921	initial	initial	H3K27ac_TDH_some/1
#F8766D	0.0328947368421053	0.764044943820225	improved	improved	H3K27ac_TDH_some/1
#00BFC4	0.0087719298245614	0.96969696969697	initial	initial	H3K27ac_TDH_some/2
#F8766D	0.0087719298245614	0.96969696969697	improved	improved	H3K27ac_TDH_some/2
#00BFC4	0.136842105263158	0.928571428571429	initial	initial	H3K27ac_TDH_some/3
#F8766D	0.0578947368421053	0.642857142857143	improved	improved	H3K27ac_TDH_some/3
#00BFC4	0.152046783625731	0.96875	initial	initial	H3K27ac_TDH_some/4
#F8766D	0.0350877192982456	0.65625	improved	improved	H3K27ac_TDH_some/4
#00BFC4	0.319799630899025	0.980886850152905	initial	initial	H3K27ac-H3K4me3_TDHAM_BP/1
#F8766D	0.0189823358818877	0.836391437308869	improved	improved	H3K27ac-H3K4me3_TDHAM_BP/1
#00BFC4	0	0	initial	initial	H3K27ac-H3K4me3_TDHAM_BP/2
#F8766D	0.0165187376725838	0.864893617021277	improved	improved	H3K27ac-H3K4me3_TDHAM_BP/2
#00BFC4	0	0	initial	initial	H3K27ac-H3K4me3_TDHAM_BP/3
#F8766D	0.00637254901960784	0.965481171548117	improved	improved	H3K27ac-H3K4me3_TDHAM_BP/3
#00BFC4	0	0	initial	initial	H3K27ac-H3K4me3_TDHAM_BP/4
#F8766D	0.0255456349206349	0.614666666666667	improved	improved	H3K27ac-H3K4me3_TDHAM_BP/4
#00BFC4	0.195488721804511	0.987804878048781	initial	initial	H3K27me3_RL_cancer/1
#F8766D	0.0526315789473684	0.829268292682927	improved	improved	H3K27me3_RL_cancer/1
#00BFC4	0.330827067669173	1	initial	initial	H3K27me3_RL_cancer/2
#F8766D	0.075187969924812	0.851851851851852	improved	improved	H3K27me3_RL_cancer/2
#00BFC4	0	0	initial	initial	H3K27me3_RL_cancer/3
#F8766D	0.00657894736842105	1	improved	improved	H3K27me3_RL_cancer/3
#00BFC4	0.256578947368421	0.953846153846154	initial	initial	H3K27me3_RL_cancer/4
#F8766D	0.203947368421053	0.923076923076923	improved	improved	H3K27me3_RL_cancer/4
#00BFC4	0.0714285714285714	1	initial	initial	H3K27me3_TDH_some/1
#F8766D	0.0357142857142857	0.876923076923077	improved	improved	H3K27me3_TDH_some/1
#00BFC4	0.0129032258064516	0.986486486486486	initial	initial	H3K27me3_TDH_some/2
#F8766D	0.0129032258064516	0.986486486486486	improved	improved	H3K27me3_TDH_some/2
#00BFC4	0.0342857142857143	1	initial	initial	H3K27me3_TDH_some/3
#F8766D	0.0571428571428571	1	improved	improved	H3K27me3_TDH_some/3
#00BFC4	0.111111111111111	1	initial	initial	H3K27me3_TDH_some/4
#F8766D	0.0606060606060606	0.846153846153846	improved	improved	H3K27me3_TDH_some/4
#00BFC4	0.038961038961039	1	initial	initial	H3K36me3_AM_immune/1
#F8766D	0.038961038961039	0.991341991341991	improved	improved	H3K36me3_AM_immune/1
#00BFC4	0.00906344410876133	0.98876404494382	initial	initial	H3K36me3_AM_immune/2
#F8766D	0.00906344410876133	0.97752808988764	improved	improved	H3K36me3_AM_immune/2
#00BFC4	0.0455764075067024	1	initial	initial	H3K36me3_AM_immune/3
#F8766D	0.0455764075067024	1	improved	improved	H3K36me3_AM_immune/3
#00BFC4	0.0469135802469136	0.99250936329588	initial	initial	H3K36me3_AM_immune/4
#F8766D	0.0740740740740741	0.98876404494382	improved	improved	H3K36me3_AM_immune/4
#00BFC4	0.0384615384615385	1	initial	initial	H3K36me3_TDH_ENCODE/1
#F8766D	0.0384615384615385	1	improved	improved	H3K36me3_TDH_ENCODE/1
#00BFC4	0.0427350427350427	1	initial	initial	H3K36me3_TDH_ENCODE/2
#F8766D	0.00854700854700855	0.933333333333333	improved	improved	H3K36me3_TDH_ENCODE/2
#00BFC4	0	0	initial	initial	H3K36me3_TDH_ENCODE/3
#F8766D	0.0769230769230769	0.769230769230769	improved	improved	H3K36me3_TDH_ENCODE/3
#00BFC4	0.0769230769230769	0.987179487179487	initial	initial	H3K36me3_TDH_ENCODE/4
#F8766D	0.102564102564103	0.987179487179487	improved	improved	H3K36me3_TDH_ENCODE/4
#00BFC4	0.00952380952380953	1	initial	initial	H3K36me3_TDH_immune/1
#F8766D	0.00952380952380953	1	improved	improved	H3K36me3_TDH_immune/1
#00BFC4	0	1	initial	initial	H3K36me3_TDH_immune/2
#F8766D	0	1	improved	improved	H3K36me3_TDH_immune/2
#00BFC4	0	1	initial	initial	H3K36me3_TDH_immune/3
#F8766D	0	1	improved	improved	H3K36me3_TDH_immune/3
#00BFC4	0	1	initial	initial	H3K36me3_TDH_immune/4
#F8766D	0	1	improved	improved	H3K36me3_TDH_immune/4
#00BFC4	0.15	1	initial	initial	H3K36me3_TDH_other/1
#F8766D	0	1	improved	improved	H3K36me3_TDH_other/1
#00BFC4	0	1	initial	initial	H3K36me3_TDH_other/2
#F8766D	0	1	improved	improved	H3K36me3_TDH_other/2
#00BFC4	0.0357142857142857	1	initial	initial	H3K36me3_TDH_other/3
#F8766D	0.0357142857142857	1	improved	improved	H3K36me3_TDH_other/3
#00BFC4	0	1	initial	initial	H3K36me3_TDH_other/4
#F8766D	0	1	improved	improved	H3K36me3_TDH_other/4
#00BFC4	0.00892857142857143	1	initial	initial	H3K4me1_TDH_BP/1
#F8766D	0.00892857142857143	1	improved	improved	H3K4me1_TDH_BP/1
#00BFC4	0.104166666666667	0.921875	initial	initial	H3K4me1_TDH_BP/2
#F8766D	0.0486111111111111	0.6953125	improved	improved	H3K4me1_TDH_BP/2
#00BFC4	0.0138888888888889	1	initial	initial	H3K4me1_TDH_BP/3
#F8766D	0.0166666666666667	0.945652173913043	improved	improved	H3K4me1_TDH_BP/3
#00BFC4	0	0	initial	initial	H3K4me1_TDH_BP/4
#F8766D	0	0.830508474576271	improved	improved	H3K4me1_TDH_BP/4
#00BFC4	0.0899031811894882	0.84394250513347	initial	initial	H3K4me3_PGP_immune/1
#F8766D	0.0857538035961272	0.739219712525667	improved	improved	H3K4me3_PGP_immune/1
#00BFC4	0.0617283950617284	0.781481481481482	initial	initial	H3K4me3_PGP_immune/2
#F8766D	0.065843621399177	0.72037037037037	improved	improved	H3K4me3_PGP_immune/2
#00BFC4	0.0361581920903955	0.876623376623377	initial	initial	H3K4me3_PGP_immune/3
#F8766D	0.0497175141242938	0.819805194805195	improved	improved	H3K4me3_PGP_immune/3
#00BFC4	0.0683229813664596	0.840909090909091	initial	initial	H3K4me3_PGP_immune/4
#F8766D	0.0509316770186335	0.739669421487603	improved	improved	H3K4me3_PGP_immune/4
#00BFC4	0.257142857142857	1	initial	initial	H3K4me3_TDH_ENCODE/1
#F8766D	0	1	improved	improved	H3K4me3_TDH_ENCODE/1
#00BFC4	0	1	initial	initial	H3K4me3_TDH_ENCODE/2
#F8766D	0	1	improved	improved	H3K4me3_TDH_ENCODE/2
#00BFC4	0	1	initial	initial	H3K4me3_TDH_ENCODE/3
#F8766D	0	1	improved	improved	H3K4me3_TDH_ENCODE/3
#00BFC4	0.0277777777777778	1	initial	initial	H3K4me3_TDH_ENCODE/4
#F8766D	0.0166666666666667	0.977777777777778	improved	improved	H3K4me3_TDH_ENCODE/4
#00BFC4	0.087719298245614	0.981132075471698	initial	initial	H3K4me3_TDH_immune/1
#F8766D	0.115131578947368	0.947589098532495	improved	improved	H3K4me3_TDH_immune/1
#00BFC4	0.0489749430523918	0.873563218390805	initial	initial	H3K4me3_TDH_immune/2
#F8766D	0.0364464692482916	0.789272030651341	improved	improved	H3K4me3_TDH_immune/2
#00BFC4	0.0933660933660934	0.952380952380952	initial	initial	H3K4me3_TDH_immune/3
#F8766D	0.106879606879607	0.880952380952381	improved	improved	H3K4me3_TDH_immune/3
#00BFC4	0.0938864628820961	0.991718426501035	initial	initial	H3K4me3_TDH_immune/4
#F8766D	0.114628820960699	0.917184265010352	improved	improved	H3K4me3_TDH_immune/4
#00BFC4	0.0396825396825397	0.995049504950495	initial	initial	H3K4me3_TDH_other/1
#F8766D	0.0436507936507936	0.99009900990099	improved	improved	H3K4me3_TDH_other/1
#00BFC4	0.021978021978022	0.96875	initial	initial	H3K4me3_TDH_other/2
#F8766D	0.021978021978022	0.941964285714286	improved	improved	H3K4me3_TDH_other/2
#00BFC4	0.00408163265306122	1	initial	initial	H3K4me3_TDH_other/3
#F8766D	0.00408163265306122	1	improved	improved	H3K4me3_TDH_other/3
