colour	x	y	key	showSelectedlegendcolour	showSelected2	fill
#00BFC4	0.993145267598207	1	initial	initial	-10	#00BFC4
#F8766D	0.993145267598207	1	improved	improved	-10	#F8766D
#00BFC4	0.993145267598207	1	initial	initial	-9.8	#00BFC4
#F8766D	0.993145267598207	1	improved	improved	-9.8	#F8766D
#00BFC4	0.993145267598207	1	initial	initial	-9.6	#00BFC4
#F8766D	0.993145267598207	1	improved	improved	-9.6	#F8766D
#00BFC4	0.993145267598207	1	initial	initial	-9.4	#00BFC4
#F8766D	0.993145267598207	1	improved	improved	-9.4	#F8766D
#00BFC4	0.993145267598207	1	initial	initial	-9.2	#00BFC4
#F8766D	0.993145267598207	1	improved	improved	-9.2	#F8766D
#00BFC4	0.993145267598207	1	initial	initial	-9	#00BFC4
#F8766D	0.993145267598207	1	improved	improved	-9	#F8766D
#00BFC4	0.993145267598207	1	initial	initial	-8.8	#00BFC4
#F8766D	0.993145267598207	1	improved	improved	-8.8	#F8766D
#00BFC4	0.993145267598207	1	initial	initial	-8.6	#00BFC4
#F8766D	0.993145267598207	1	improved	improved	-8.6	#F8766D
#00BFC4	0.993145267598207	1	initial	initial	-8.4	#00BFC4
#F8766D	0.993145267598207	1	improved	improved	-8.4	#F8766D
#00BFC4	0.993145267598207	1	initial	initial	-8.2	#00BFC4
#F8766D	0.993145267598207	1	improved	improved	-8.2	#F8766D
#00BFC4	0.993145267598207	1	initial	initial	-8	#00BFC4
#F8766D	0.993145267598207	1	improved	improved	-8	#F8766D
#00BFC4	0.993145267598207	1	initial	initial	-7.8	#00BFC4
#F8766D	0.993145267598207	1	improved	improved	-7.8	#F8766D
#00BFC4	0.993145267598207	1	initial	initial	-7.6	#00BFC4
#F8766D	0.993145267598207	1	improved	improved	-7.6	#F8766D
#00BFC4	0.993145267598207	1	initial	initial	-7.4	#00BFC4
#F8766D	0.993145267598207	1	improved	improved	-7.4	#F8766D
#00BFC4	0.993145267598207	1	initial	initial	-7.2	#00BFC4
#F8766D	0.993145267598207	1	improved	improved	-7.2	#F8766D
#00BFC4	0.993145267598207	1	initial	initial	-7	#00BFC4
#F8766D	0.993145267598207	1	improved	improved	-7	#F8766D
#00BFC4	0.993145267598207	1	initial	initial	-6.8	#00BFC4
#F8766D	0.993145267598207	1	improved	improved	-6.8	#F8766D
#00BFC4	0.993145267598207	1	initial	initial	-6.6	#00BFC4
#F8766D	0.993145267598207	1	improved	improved	-6.6	#F8766D
#00BFC4	0.992881624044292	1	initial	initial	-6.4	#00BFC4
#F8766D	0.993145267598207	1	improved	improved	-6.4	#F8766D
#00BFC4	0.992881624044292	1	initial	initial	-6.2	#00BFC4
#F8766D	0.993145267598207	1	improved	improved	-6.2	#F8766D
#00BFC4	0.991036119166886	1	initial	initial	-6	#00BFC4
#F8766D	0.993145267598207	1	improved	improved	-6	#F8766D
#00BFC4	0.989717901397311	1	initial	initial	-5.8	#00BFC4
#F8766D	0.993145267598207	1	improved	improved	-5.8	#F8766D
#00BFC4	0.989190614289481	1	initial	initial	-5.6	#00BFC4
#F8766D	0.993145267598207	1	improved	improved	-5.6	#F8766D
#00BFC4	0.98813604007382	1	initial	initial	-5.4	#00BFC4
#F8766D	0.993145267598207	1	improved	improved	-5.4	#F8766D
#00BFC4	0.986290535196414	1	initial	initial	-5.2	#00BFC4
#F8766D	0.993145267598207	1	improved	improved	-5.2	#F8766D
#00BFC4	0.981808594779858	1	initial	initial	-5	#00BFC4
#F8766D	0.993145267598207	1	improved	improved	-5	#F8766D
#00BFC4	0.977853941471131	1	initial	initial	-4.8	#00BFC4
#F8766D	0.993145267598207	1	improved	improved	-4.8	#F8766D
#00BFC4	0.970999209069338	1	initial	initial	-4.6	#00BFC4
#F8766D	0.993145267598207	1	improved	improved	-4.6	#F8766D
#00BFC4	0.960980754020564	1	initial	initial	-4.4	#00BFC4
#F8766D	0.993145267598207	1	improved	improved	-4.4	#F8766D
#00BFC4	0.956235170050092	1	initial	initial	-4.2	#00BFC4
#F8766D	0.992881624044292	1	improved	improved	-4.2	#F8766D
#00BFC4	0.945162140785658	1	initial	initial	-4	#00BFC4
